ID,SQ1,SQ2,SQ3,SQ4,Q1,Q2,Q3x1,Q3x2,Q4x1_1,Q4x2_1,Q4x1_2,Q4x2_2,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8,Q9x1_1,Q9x2_1,Q9x1_2,Q9x2_2,Q9x1_3,Q9x2_3,Q10x1_1,Q10x2_1,Q10x1_2,Q10x2_2,Q11,Q12x1,Q12x2,Q13x1_1,Q13x2_1,Q13x1_2,Q13x2_2,Q15,Q16x1_1,Q16x2_1,Q16x1_2,Q16x2_2,Q16x1_3,Q16x2_3,Q17x1_1,Q17x2_1,Q17x1_2,Q17x2_2,Q18,Q19x1,Q19x2,Q20x1_1,Q20x2_1,Q20x1_2,Q20x2_2,Q22,Q23x1_1,Q23x2_1,Q23x1_2,Q23x2_2,Q23x1_3,Q23x2_3,Q24,Q25x1,Q25x2,Q26_1,Q26_2,Q26_3,Q27x1,Q27x2,Q28x1_1,Q28x2_1,Q28x1_2,Q28x2_2,Q29_1,Q29_2,Q29_3,Q30x1,Q30x2,Q31x1_1,Q31x2_1,Q31x1_2,Q31x2_2,Q32,Q33x1,Q33x2,Q34x1_1,Q34x2_1,Q34x1_2,Q34x2_2,Q35,Q36x1,Q36x2,Q37x1_1,Q37x2_1,Q37x1_2,Q37x2_2,Q38x1_1,Q38x2_1,Q38x1_2,Q38x2_2,Q40x1_1,Q40x2_1,Q40x1_2,Q40x2_2,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q42_7,Q42_8,Q42_9,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q43_12,Q43_13,Q44_1,Q44_2,Q44_3,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Q45_6,Q47,Q48x1,Q48x2,Q50,Q51x1,Q51x2,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q53_7,Q53_8,Q53_9,Q53_10,Q53_11,Q53_12,Q53_13,Q54_1,Q54_2,Q54_3,Q55,Q56x1,Q56x2,Q58,Q59x1,Q59x2,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Q61_6,Q61_7,Q61_8,Q61_9,Q61_10,Q61_11,Q61_12,Q61_13,Q62_1,Q62_2,Q62_3,Q63,Q64x1,Q64x2,Q66,Q67x1,Q67x2,Q69_1,Q69_2,Q69_3,Q69_4,Q69_5,Q69_6,Q69_7,Q69_8,Q69_9,Q69_10,Q69_11,Q69_12,Q69_13,Q70_1,Q70_2,Q70_3,Q71,Q72x1,Q72x2,Q73,Q74x1,Q74x2,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Q78_6,Q79_1,Q79_2,Q79_3,Q79_4,Q79_5,Q79_6,Q79_7,Q80_1,Q80_2,Q80_3,Q80_4,Q80_5,Q80_6,Q80_7,Q81_1,Q81_2,Q81_3,Q81_4,Q81_5,Q81_6,Q81_7,Q81_8,Q81_9,Q81_10,Q82,Q83_1,Q83_2,Q86,Q87_1,Q87_2,Q87_3,Q87_4,Q88_1,Q88_2,Q88_3,Q88_4,Q89_1,Q89_2,Q89_3,Q89_4,Q90_1,Q90_2,Q90_3,Q90_4,Q90_5,Q90_6,Q90_7,Q90_8,Q90_9,Q90_10,Q91,Q92,Q92x1,Q93_1A,Q93_2A,Q94_1A,Q94_2A,Q95_1A,Q95_2A,Q96_1,Q96_2,Q96_3,Q96_4,BQ1x1,BQ1x2,BQ2,BQ3,BQ4,BQ5,BQ6,BQ7,BQ8,BQ9_1,BQ9_2,BQ9_3,BQ9_4,BQ9_5,BQ9_6,BQ10,BQ12,WT
2373,17,2,1,76,2,3,0,0, , , , , , , , , , , , , , , , , ,2,2,2,2,2,1,5,2,0,0,0,0,5,0,5,0,1,5,2,1,0,1,0,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0, , ,3,0,0, , , , , , ,3,0,0, , , , ,2,0,0, , , , ,2,0,0, , , , ,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,2,2,2,2,2,4,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,4,2,2,6,2,2,9,9, , , , ,3,3,3,3,1,1,1,1,1,3,2,3,1,1,3,2,2,11,2,11,2,11,2,1,1,1,2,2,0,1,2,12,2,2,3,3,1,2,2,2,2,2,2,1,.280997217573627
2374,16,2,1,37,5,1,0,0, , , , , , , , , , , , , , , , , ,1,1,2,1,2,1,5,2,3,1,0,0,3,0,3,0,1,3,1,1,0,1,0,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,5,2,2,0,3,0,1, , ,5,2,1,0,1,0,1,5,2,1,0,1,0,1,2,1,0,30,0,30,5,2,5,2,5,2,5,2,4,3,2,3,2,2,2,2,3,1,2,3,4, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,5,2,1,3,1, ,2,3,4, , , , , , , , , ,2,2,2,1,5,2,1,2,1, , ,3,4,5, , , , , , , , ,2,2,2,1,5,2,1,5,2, ,2,3,4, , , , , , , , , ,2,2,2,2,0,0,2,0,0,4,3,4,3,3,3,4,3,2,3,4,4,4,4,3,3,4,3,3,3,2,3,2,1,4,3,3,3,3,4,4,4,3,2,1,1,1,2,4,3,4,3,3,2,4,3,1,2,2,2,3,2,1,2,1,2,4,2,2,3,6,10,7,10,7,2,2,2,2,1, ,1,4,2,4,3,2,4,1,2,2,1,2,2,2,1,.534156555960331
2375,13,2,1,41,2,3,0,0, , , , , , , , , , , , , , , , , ,2,1,2,2,2,1,3,0,0,0,0,0,2,0,0,0,1,3,0,0,20,0,0,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,5,2,2,30,1,0,1, , ,3,0,0,15,0,0,1,4,1,3,0,1,0,2,0,0,0,0,0,0,5,2,2,0,2,0,0,0,1,3,1,1,1,1,1,4,1, ,2, , , , , , ,9,10, , , ,2,2,2,2,2,2,2,1,2,1,5,2,1,1,0, ,2,3, , , , ,8, ,10, , , ,2,2,2,1,5,2,1,2,0, , , , , , , , , ,10, , , ,2,2,2,1,5,2,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,1,3,3,3,4,4,4,4,4,4,5,5,5,5,5,4,4,3,3,4,3,4,2,2,3,3,3,3,3,3,3,3,2,9,2,2,2,2,1,1,1, ,3,4,3,3,2,1,2,2,3,2,2,3,3,4,4,2,2,2,6,2,6,2,6,2,2,2,2,4,2,2,3,5,3,2,3,3,1,2,1,2,2,2,2,1,.570647549400013
2376,4,1,1,62,2,3,5,0,0,30,0,0,1,2,3,4, ,6,7,8, ,10,11,12, ,1,2,2,2,2,1,5,2,0,0,0,0,5,0,9,0,1,5,2,3,0,3,0,1,5,0,0,0,0,0,1,0,0,0,1,5,0,0,30,0,0,2,0,0,0,0,0,0,2,0,0, , ,3,0,0, , , , , , ,3,0,0, , , , ,1,5,0,1,0,0,0,1,5,0,0,30,0,0,0,0,5,0,0,0,5,0,4,3,4,3,3,3,2,4,3,1, ,3,4, , , ,8, ,10,11,12, ,2,2,2,2,2,2,2,2,2,1,5,2,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,4,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,3,3,4,4,4,3,4,1,2,2,2,3, , , ,4,4,5,4,2,3,3,3,4,4,4,4,3,2,3,2,2,2,1,2,1,2,1,2,1,2,2,3,0,2,3,2,8,3,4,4,1,2,1,2,2,2,1,1,1.05010763424891
2377,1,1,1,34,9,1,0,0, , , , , , , , , , , , , , , , , ,2,1,2,2,2,1,5,2,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,5,2,3,0,2,0,1, , ,3,1,0,20,0,20,1,5,1,2,0,1,0,2,0,0,0,0,0,0,5,2,5,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,5,2,2,0,0, , , , , , , , , , , , , ,2,2,2,1,5,1,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,3,2,3,2,4,3,4,3,4,3,2,4,2,3,2,3,2,2,3,2,3,4,3,2,4,3,3,3,3,3,3,3,2,8,1,2,9,2, , , , ,3,4,3,2,3,2,3,2,3,3,4,4,2,2,3,2,2,10,11,10,11,10,11,2,2,2,2,2,0,1,3,2,4,3,4,4,1,1,1,1,1,1,2,1,1.41733795986325
2378,7,1,1,45,2,3,0,0, , , , , , , , , , , , , , , , , ,2,1,2,1,2,1,5,2,0,0,1,1,2,0,2,0,1,5,2,0,20,0,20,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,5,2,1,0,1,0,1, , ,5,2,0,30,0,30,2,0,0, , , , ,2,0,0, , , , ,5,2,0,0,5,2,0,0,5,3,4,2,2,2,2,3,3,1,2,3,4, , , ,8,9,10, , , ,2,2,2,2,2,2,2,2,2,1,5,2,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,1,1,1,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,3,4,3,3,4,4,5,5,5,4,5,4,5,2,3,2,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,2,1,2,1,2,2,2,2, , , ,1,3,4,4,1,2,3,2,3,3,3,4,2,1,3,2,2,3,2,3,2,3,2,2,2,2,2,4,2,2,3,2,8,2,2,4,1,2,1,1,1,2,2,1,.491199652304068
2379,14,3,1,35,5,1,0,0, , , , , , , , , , , , , , , , , ,2,1,2,1,2,1,5,2,0,0,3,1,2,0,2,0,1,5,1,0,30,0,20,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,5,2,1,0,2,0,1, , ,5,2,0,30,1,0,2,0,0, , , , ,2,0,0, , , , ,5,2,0,0,5,2,0,0,3,3,4,2,3,3,5,4,3,1, ,3,4, , ,7,8, ,10, , , ,2,2,2,2,2,2,2,2,2,1,5,2,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,1,4,1,1,3,1,1,2,3, , ,6, , , , , , , ,2,2,2,2,0,0,2,0,0,2,3,3,3,4,5,5,5,4,5,5,5,5,2,2,3,3,1,2,2,3,3,3,2,3,2,3,3,3,3,3,4,3,4,2,2,2,2,4, , ,3,3,4,5,3,2,3,3,3,3,3,2,4,3,2,3,2,2,6,2,6,10,2,6,2,2,2,2,3,1,2,4,5,5,3,2,5,1,2,2,1,2,2,2,3,.538164104995569
2380,1,1,2,38,2,2,0,0, , , , , , , , , , , , , , , , , ,2,1,2,1,2,1,5,2,0,0,0,0,3,0,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,5,0,0,20,0,0,1, , ,1,0,0,10,0,0,2,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,5,2,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,3,4,4,3,4,4,3,4,4,3,3,4,4,4,3,3,4,3,3,4,3,4,3,3,4,4,3,3,3,4,4,4,4,5,1,2,2,2, , , , ,3,2,2,3,3,2,2,3,3,3,3,3,4,3,3,2,2,2,3,2,3,2,3,2,2,2,2,4,2,2,3,10,4,3,3,3,1,1,1,1,2,2,2,3,1.85662272495236
2381,14,3,1,58,2,3,0,0, , , , , , , , , , , , , , , , , ,2,1,2,1,2,1,5,2,0,0,0,0,3,0,2,0,1,5,2,2,0,0,40,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,5,2,0,30,0,30,1, , ,4,0,0,10,0,0,2,0,0, , , , ,2,0,0, , , , ,5,1,0,0,4,1,0,0,3,2,2,2,2,2,3,3,2,1, ,3, , , , ,8, , , , , ,2,2,2,2,2,2,2,2,2,1,5,1,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,3,3,3,3,4,5,4,5,5,5,5,5,5,2,3,3,3,1,1,3,2,4,4,2,3,2,1,2,2,3,3,2,2,4,2,2,2,2,2, , , ,3,4,5,3,1,2,3,3,3,3,3,3,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,0,1,2,1,2,2,3,4,1,2,2,2,2,2,2,1,.422934682070399
2382,3,1,1,65,2,3,5,1,1,30,1,30,1,2,3,4,5,6,7,8,9,10,11,12, ,2,2,2,2,2,1,5,2,0,0,0,0,3,30,4,0,1,5,2,1,0,1,0,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0, , ,3,0,0, , , , , , ,3,0,0, , , , ,2,0,0, , , , ,2,0,0, , , , ,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,2,3,3,2,2,2,5,4,5,5,5,5,5,3,2,2,3,3,3,2,4,4,4,2,2,2,2,2,2,4,4,2,2,4,2,2,2,2, , , , ,3,3,2,2,1,1,4,4,2,3,4,4,2,1,3,2,2,1,3,1,3,1,3,2,2,2,2,2,0,1,3,12,2,2,4,4,1,2,1,2,2,2,1,1,.602377135985877
2383,4,1,2,28,5,1,0,0, , , , , , , , , , , , , , , , , ,1,1,2,1,2,1,2,1,5,0,5,2,1,30,2,0,1,2,1,0,30,0,20,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,1,1,0,0,0,0,0,2,0,0,1, , ,5,2,3,0,4,0,1, , ,3,1,0,10,0,10,1,5,2,2,0,3,0,1,2,0,0,10,0,0,5,2,5,0,5,1,5,0,3,3,2,3,3,4,3,3,2, , ,3,4, , , , ,9, , , , ,1,1,1,2,2,1,2,2,2,1,3,1,2,0,0, , , , , , , , , , , , , ,2,2,2,1,5,2,1,2,1, , , , , , , , ,9, , , , ,1,1,1,1,4,1,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,4,4,3,3,4,4,5,5,4,4,5,5,4,4,4,4,4,3,4,4,3,4,4,3,4,3,3,3,2,3,4,4,3,9,1,2,2,2,4, ,3, ,4,4,5,4,2,3,3,4,4,4,3,4,3,3,4,2,2,6,3,3,6,6,3,1,2,2,2,2,0,5,4,6,3,1,3,4,1,2,1,1,2,2,2,2,.456256641075877
2384,1,1,2,48,5,1,0,0, , , , , , , , , , , , , , , , , ,2,1,2,1,2,1,4,1,0,0,0,0,1,0,2,0,1,2,0,0,20,0,0,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,5,2,1,10,1,20,1, , ,2,0,0,10,0,0,2,0,0, , , , ,2,0,0, , , , ,5,2,0,0,2,0,0,0,3,4,3,3,4,4,4,3,3,1,2,3,4, , , ,8,9, , , , ,1,2,2,1,1,1,2,2,2,1,5,2,2,0,0, , , , , , , , , , , , , ,2,2,2,1,3,1,1,2,0, , , , , , , ,8,9, , , , ,2,2,2,1,3,0,2,0,0, , , , , , , , , , , , , ,2,2,2,1,2,0,1,2,0,3,4,4,4,5,5,5,5,4,4,5,5,5,4,4,4,3,4,4,3,4,4,4,3,4,4,3,3,3,3,4,3,2,4,2,2,2,2,4, ,4, ,4,5,5,4,2,2,3,4,4,4,2,4,3,2,2,2,1,2,3,2,11,3,11,2,2,1,2,3,1,2,4,3,7,2,3,4,1,2,1,2,1,1,2,3,1.41988359885753
2385,4,1,1,63,2,3,0,0, , , , , , , , , , , , , , , , , ,2,2,2,1,2,1,5,2,0,0,0,0,4,0,5,0,1,5,2,1,0,1,30,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,3,0,1,0,0,0, , ,3,0,0,0,0,0,0,2,0,0, , , , ,2,0,0, , , , ,3,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,4,2,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,1,3,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,3,4,4,4,4,5,5,4,4,5,5,4,4,4,5,4,5,4,4,4,4,4,4,3,3,4,2,2,3,4,4,3,2,8,1,2,2,1, , , , ,4,4,5,4,2,2,4,2,4,3,3,4,3,2,4,2,2,3, ,2,3,3,2,2,2,2,2,2,0,1,3,5,5,2,4,4,1,2,2,2,2,2,2,2,1.12392472418477
2386,2,1,1,70,2,3,0,0, , , , , , , , , , , , , , , , , ,2,2,2,1,2,1,5,2,0,0,0,0,5,0,5,0,1,5,2,2,30,2,0,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0, , ,3,0,0, , , , , , ,3,0,0, , , , ,2,0,0, , , , ,2,0,0, , , , ,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,3,3,4,4,4,5,4,3,3,4,4,4,3,4,3,4,4,3,4,4,4,4,4,2,4,3,3,4,2,3,4,3,2,2,2,1,2,2, , , , ,4,4,3,3,3,3,3,4,4,4,4,4,2,2,3,2,2,2,3,2,3,2,3,2,2,2,2,1, ,1,1,12,1,1,5,4,1,2,2,2,2,2,2,1,.615905285138421
2387,9,2,2,25,5,3,0,0, , , , , , , , , , , , , , , , , ,2,1,2,1,2,1,3,2,0,0,0,0,2,30,4,0,1,3,2,0,30,0,30,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,5,2,2,0,1,0,1, , ,3,0,1,0,0,0,2,0,0, , , , ,2,0,0, , , , ,5,2,0,0,5,2,0,0,5,5,3,3,3,2,2,2,3, ,2,3,4, , , , ,9, , , , ,2,2,2,2,2,2,2,2,2,1,5,2,1,1,0, , , ,4, , , ,8,9, , , , ,1,2,2,1,1,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,3,3,3,3,5,5,5,5,5,5,4,5,5,3,3,2,3,2,2,3,3,3,3,2,3,2,2,2,2,3,3,3,3,4,1,2,2,2,3,3, , ,3,2,3,3,2,2,3,3,3,3,3,4,1,1,3,2,2,11,6,11,6,11,6,2,2,2,2,1, ,1,4,3,2,3,3,3,1,2,2,1,2,2,2,4,.941863921947951
2388,17,2,2,79,2,3,0,0, , , , , , , , , , , , , , , , , ,2,2,2,2,2,1,5,2,0,0,0,0,6,0,6,0,1,5,2,1,0,1,0,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0, , ,3,0,0, , , , , , ,3,0,0, , , , ,2,0,0, , , , ,2,0,0, , , , ,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,3,3,3,4,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,1,4,1,1,2,2,2,2,2,3,3,1,1,1,9,9,9,9, , , , ,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,2,3,2,3,2,3,2,2,2,2,2,0,1,1,10,1,1,3,1,1,2,2,2,2,2,2,1,.263869006512664
2389,1,1,1,26,5,1,0,0, , , , , , , , , , , , , , , , , ,1,1,2,1,2,1,5,2,0,0,4,1,1,30,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,5,2,2,0,2,0,1, , ,5,2,0,20,0,10,1,5,2,1,0,2,0,1,2,1,0,5,0,5,5,2,0,0,5,2,0,0,4,4,5,5,3,4,4,5,4, ,2,3, , , , , ,9, , , , ,2,2,2,2,2,2,2,2,2,1,1,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,1,5,2,1,3,1, ,2,3,4, , , , , , , , , ,2,2,2,2,0,0,2,0,0,3,4,4,3,5,5,4,4,5,5,5,5,5,4,4,3,4,3,4,2,3,3,3,2,3,3,3,3,2,4,3,3,3,8,1,2,2,1,3, , ,3,4,3,4,4,4,5,4,3,3,3,4,2,4,3,4,2,2,6,3,3,2,3,2,2,2,2,2,4,0,2,4,6,5,3,3,4,1,2,2,1,2,2,2,4,2.04126455265449
2390,6,1,2,67,2,3,0,0, , , , , , , , , , , , , , , , , ,2,1,2,2,2,1,5,2,0,0,0,0,3,30,4,20,1,4,1,0,40,0,50,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,3,1,0,30,0,30,1, , ,3,1,0,30,0,30,2,0,0, , , , ,2,0,0, , , , ,3,1,0,0,3,1,0,0,3,3,3,2,2,2,3,3,2, , ,3, , , , ,8, , , , , ,2,2,2,2,2,2,2,2,2,1,5,2,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,1,5,2,1,3,1, , ,3, , , , ,8, , , , , ,2,2,2,2,0,0,2,0,0,3,3,3,3,4,4,3,4,4,5,4,4,4,4,5,4,4,3,4,3,4,4,3,3,4,3,3,3,4,3,4,4,3,1,1,2,2,1,4, , ,4,3,3,4,3,3,4,4,4,3,4,4,4,3,3,3,2,2,11,2,11,2,11,2,2,2,2,2,1, ,1,2,4,2,1,3,3,1,2,2,2,2,2,2,2,.561075179596695
2391,7,1,2,43,2,3,0,0, , , , , , , , , , , , , , , , , ,2,1,2,1,2,1,5,2,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,30,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1, , ,5,2,1,0,1,0,1, , ,5,2,0,20,0,20,2,0,0, , , , ,2,0,0, , , , ,5,2,0,0,5,2,0,0,5,3,4,2,2,2,3,3,3,1,2,3,4,5,6,7,8,9,10,11,12, ,2,2,2,2,2,2,2,2,2,1,5,2,2,0,0, , , , , , , , , , , , , ,2,2,2,1,3,1,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,3,4,3,3,4,4,5,5,5,5,5,5,5,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,2,1,2,2,2,3, , , ,2,3,4,3,1,2,3,2,3,4,4,4,3,1,4,2,2,3,6,3,6,3,6,2,1,2,2,3,1,2,4,3,9,3,2,3,1,2,1,1,1,1,2,1,.45701846504648
2392,7,1,2,50,2,3,0,0, , , , , , , , , , , , , , , , , ,2,1,2,2,2,1,5,2,0,0,0,0,3,0,3,0,1,5,2,0,30,0,30,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,5,2,0,40,0,30,1, , ,2,0,0,10,0,0,1,5,0,1,0,0,0,2,0,0,0,0,0,0,4,1,5,0,2,0,0,0,4,4,4,2,1,1,3,4,3,1,2,3, , , , , , , , , , ,2,1,2,2,2,2,2,1,2,1,5,2,1,1,0, , ,3, , , , , , , , , , ,2,1,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,1,0,1,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,4,4,2,3,4,4,3,4,3,4,4,3,3,3,4,4,2,3,2,2,3,5,3,3,4,4,3,3,3,3,4,3,3,2,2,2,2,2,3,2, , ,2,4,5,3,2,3,4,3,2,4,3,4,4,3,3,2,2,2,3,2,3,3,2,2,1,2,2,4,0,2,4,6,6,4,2,3,1,2,1,1,2,2,2,1,.541684231189029
2393,7,1,1,57,2,3,0,0, , , , , , , , , , , , , , , , , ,2,1,2,1,2,1,5,2,0,0,0,0,3,0,3,0,1,5,2,1,0,1,0,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,2,0,0,30,0,0,1, , ,2,0,0,5,0,0,2,0,0, , , , ,2,0,0, , , , ,2,0,0,0,2,0,0,0,3,1,1,1,1,1,1,1,1,1,2,3,4, ,6, , , ,10,11, , ,2,2,2,2,2,2,2,2,2,1,5,2,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0, , , , , , , , , , , , , ,2,2,2,1,3,0,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,3,3,3,3,4,4,4,4,3,4,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,1,9,1,2,2,2,2, , , ,2,3,4,3,3,3,3,3,3,3,2,4,1,1,4,2,2,3,2,3,2,3,2,2,2,2,2,2,0,1,3,12,3,3,1,4,1,1,2,2,2,2,2,1,.46857703190264
2394,6,1,2,25,5,1,0,0, , , , , , , , , , , , , , , , , ,2,1,2,2,2,1,5,2,0,0,5,2,2,30,4,30,1,5,2,0,30,0,30,2,0,0,0,0,0,0, , , , ,2,0,0, , , , ,2,0,0,0,0,0,0,2,0,0,1, , ,5,2,2,30,3,0,1, , ,5,2,0,15,0,20,1,5,2,1,0,1,0,1,5,2,0,20,0,20,5,2,3,1,5,2,3,1,4,3,3,2,2,2,3,2,3, , ,3,4, , , , ,9, , , , ,2,2,2,2,2,2,2,2,2,1,5,2,2,0,0, , , , , , , , , , , , , ,2,2,2,1,3,1,2,0,0, , , , , , , , , , , , , ,2,2,2,1,5,2,2,0,0, , , , , , , , , , , , , ,2,2,2,2,0,0,2,0,0,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,2,4,4,3,3,3,4,4,3,2,4,1,1,1,1,4, , , ,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,2,2,2,6,2,6,2,6,2,2,2,2,2,0,2,4,3,6,2,3,3,1,2,2,1,2,2,2,2,.380908799745212
